trigger_level,trigger_hour,atr_level,goal_hour,percent_complete,raw_count,direction
-1.0,1400,0.382,1400,99.2,260,Above
-1.0,1400,0.382,1400,19.3,200,Below
-1.0,1400,0.5,1400,33.3,84,Above
-1.0,1400,0.5,1400,84.0,196,Below
-1.0,1400,0.618,1400,91.9,122,Above
-1.0,1400,0.618,1400,41.1,26,Below
-1.0,1400,0.786,1400,71.0,49,Above
-1.0,1400,0.786,1400,74.9,258,Below
-1.0,1400,1.0,1400,93.3,213,Above
-1.0,1400,1.0,1400,88.8,50,Below
-1.0,1500,-1.0,1500,30.5,244,Above
-1.0,1500,-1.0,1500,28.5,187,Below
-1.0,1500,-0.786,1500,8.3,274,Above
-1.0,1500,-0.786,1500,80.4,189,Below
-1.0,1500,-0.618,1500,20.6,181,Above
-1.0,1500,-0.618,1500,12.0,168,Below
-1.0,1500,-0.5,1500,21.3,256,Above
-1.0,1500,-0.5,1500,21.4,226,Below
-1.0,1500,-0.382,1500,45.7,244,Above
-1.0,1500,-0.382,1500,13.5,219,Below
-1.0,1500,-0.236,1500,42.3,55,Above
-1.0,1500,-0.236,1500,73.6,114,Below
-1.0,1500,0.0,1500,88.3,290,Above
-1.0,1500,0.0,1500,61.2,112,Below
-1.0,1500,0.236,1500,77.0,219,Above
-1.0,1500,0.236,1500,24.4,213,Below
-1.0,1500,0.382,1500,91.5,87,Above
-1.0,1500,0.382,1500,63.6,38,Below
-1.0,1500,0.5,1500,37.2,187,Above
-1.0,1500,0.5,1500,59.4,259,Below
-1.0,1500,0.618,1500,47.8,146,Above
-1.0,1500,0.618,1500,34.4,109,Below
-1.0,1500,0.786,1500,75.0,94,Above
-1.0,1500,0.786,1500,73.0,201,Below
-1.0,1500,1.0,1500,4.6,65,Above
-1.0,1500,1.0,1500,36.8,285,Below
-1.0,1600,-1.0,1600,44.5,74,Above
-1.0,1600,-1.0,1600,69.2,153,Below
-1.0,1600,-0.786,1600,63.7,263,Above
-1.0,1600,-0.786,1600,87.6,298,Below
-1.0,1600,-0.618,1600,74.0,30,Above
-1.0,1600,-0.618,1600,44.3,300,Below
-1.0,1600,-0.5,1600,83.7,92,Above
-1.0,1600,-0.5,1600,50.9,198,Below
-1.0,1600,-0.382,1600,86.0,127,Above
-1.0,1600,-0.382,1600,78.2,264,Below
-1.0,1600,-0.236,1600,85.3,48,Above
-1.0,1600,-0.236,1600,3.8,200,Below
-1.0,1600,0.0,1600,54.8,90,Above
-1.0,1600,0.0,1600,77.7,1,Below
-1.0,1600,0.236,1600,88.1,43,Above
-1.0,1600,0.236,1600,81.9,62,Below
-1.0,1600,0.382,1600,10.3,5,Above
-1.0,1600,0.382,1600,52.5,203,Below
-1.0,1600,0.5,1600,96.2,123,Above
-1.0,1600,0.5,1600,33.8,77,Below
-1.0,1600,0.618,1600,53.3,6,Above
-1.0,1600,0.618,1600,78.8,188,Below
-1.0,1600,0.786,1600,53.0,285,Above
-1.0,1600,0.786,1600,98.0,292,Below
-1.0,1600,1.0,1600,59.3,104,Above
-1.0,1600,1.0,1600,2.4,2,Below
-0.786,OPEN,-1.0,OPEN,18.4,151,Above
-0.786,OPEN,-1.0,OPEN,80.1,254,Below
-0.786,OPEN,-0.786,OPEN,92.2,293,Above
-0.786,OPEN,-0.786,OPEN,48.8,48,Below
-0.786,OPEN,-0.618,OPEN,26.0,13,Above
-0.786,OPEN,-0.618,OPEN,15.2,152,Below
-0.786,OPEN,-0.5,OPEN,89.5,34,Above
-0.786,OPEN,-0.5,OPEN,7.5,253,Below
-0.786,OPEN,-0.382,OPEN,84.1,283,Above
-0.786,OPEN,-0.382,OPEN,36.3,226,Below
-0.786,OPEN,-0.236,OPEN,60.1,117,Above
-0.786,OPEN,-0.236,OPEN,24.7,247,Below
-0.786,OPEN,0.0,OPEN,77.9,228,Above
-0.786,OPEN,0.0,OPEN,93.4,50,Below
-0.786,OPEN,0.236,OPEN,13.8,38,Above
-0.786,OPEN,0.236,OPEN,48.5,266,Below
-0.786,OPEN,0.382,OPEN,31.5,62,Above
-0.786,OPEN,0.382,OPEN,43.4,110,Below
-0.786,OPEN,0.5,OPEN,88.0,292,Above
-0.786,OPEN,0.5,OPEN,37.7,58,Below
-0.786,OPEN,0.618,OPEN,30.7,168,Above
-0.786,OPEN,0.618,OPEN,86.8,186,Below
-0.786,OPEN,0.786,OPEN,15.6,81,Above
-0.786,OPEN,0.786,OPEN,43.2,51,Below
-0.786,OPEN,1.0,OPEN,6.1,221,Above
-0.786,OPEN,1.0,OPEN,90.5,190,Below
-0.786,0900,-1.0,0900,41.7,88,Above
-0.786,0900,-1.0,0900,13.2,289,Below
-0.786,0900,-0.786,0900,76.0,240,Above
-0.786,0900,-0.786,0900,28.1,20,Below
-0.786,0900,-0.618,0900,74.5,130,Above
-0.786,0900,-0.618,0900,46.7,39,Below
-0.786,0900,-0.5,0900,50.1,251,Above
-0.786,0900,-0.5,0900,11.1,283,Below
-0.786,0900,-0.382,0900,52.9,63,Above
-0.786,0900,-0.382,0900,96.1,240,Below
-0.786,0900,-0.236,0900,13.4,295,Above
-0.786,0900,-0.236,0900,7.7,82,Below
-0.786,0900,0.0,0900,2.1,240,Above
-0.786,0900,0.0,0900,47.7,164,Below
-0.786,0900,0.236,0900,67.8,251,Above
-0.786,0900,0.236,0900,37.8,168,Below
-0.786,0900,0.382,0900,40.1,73,Above
-0.786,0900,0.382,0900,97.2,197,Below
-0.786,0900,0.5,0900,77.2,147,Above
-0.786,0900,0.5,0900,72.6,168,Below
-0.786,0900,0.618,0900,26.2,3,Above
-0.786,0900,0.618,0900,74.3,119,Below
-0.786,0900,0.786,0900,14.2,42,Above
-0.786,0900,0.786,0900,48.9,280,Below
-0.786,0900,1.0,0900,96.0,206,Above
-0.786,0900,1.0,0900,94.9,271,Below
-0.786,1000,-1.0,1000,42.4,232,Above
-0.786,1000,-1.0,1000,93.7,175,Below
-0.786,1000,-0.786,1000,89.0,226,Above
-0.786,1000,-0.786,1000,33.8,139,Below
-0.786,1000,-0.618,1000,42.0,103,Above
-0.786,1000,-0.618,1000,76.7,239,Below
-0.786,1000,-0.5,1000,32.4,180,Above
-0.786,1000,-0.5,1000,60.7,48,Below
-0.786,1000,-0.382,1000,68.1,159,Above
-0.786,1000,-0.382,1000,44.1,77,Below
-0.786,1000,-0.236,1000,73.8,220,Above
-0.786,1000,-0.236,1000,59.9,49,Below
-0.786,1000,0.0,1000,65.5,61,Above
-0.786,1000,0.0,1000,63.5,100,Below
-0.786,1000,0.236,1000,14.7,63,Above
-0.786,1000,0.236,1000,74.7,232,Below
-0.786,1000,0.382,1000,70.5,239,Above
-0.786,1000,0.382,1000,19.6,77,Below
-0.786,1000,0.5,1000,97.0,35,Above
-0.786,1000,0.5,1000,28.7,265,Below
-0.786,1000,0.618,1000,87.6,141,Above
-0.786,1000,0.618,1000,70.9,172,Below
-0.786,1000,0.786,1000,7.6,288,Above
-0.786,1000,0.786,1000,55.8,219,Below
-0.786,1000,1.0,1000,9.1,159,Above
-0.786,1000,1.0,1000,67.7,4,Below
-0.786,1100,-1.0,1100,42.7,262,Above
-0.786,1100,-1.0,1100,18.6,31,Below
-0.786,1100,-0.786,1100,82.0,135,Above
-0.786,1100,-0.786,1100,62.0,84,Below
-0.786,1100,-0.618,1100,57.8,263,Above
-0.786,1100,-0.618,1100,19.3,203,Below
-0.786,1100,-0.5,1100,33.4,271,Above
-0.786,1100,-0.5,1100,7.8,78,Below
-0.786,1100,-0.382,1100,31.0,287,Above
-0.786,1100,-0.382,1100,34.5,259,Below
-0.786,1100,-0.236,1100,64.0,212,Above
-0.786,1100,-0.236,1100,3.2,232,Below
-0.786,1100,0.0,1100,45.3,185,Above
-0.786,1100,0.0,1100,90.6,299,Below
-0.786,1100,0.236,1100,8.6,273,Above
-0.786,1100,0.236,1100,94.0,164,Below
-0.786,1100,0.382,1100,24.8,157,Above
-0.786,1100,0.382,1100,30.1,81,Below
-0.786,1100,0.5,1100,77.8,255,Above
-0.786,1100,0.5,1100,1.5,182,Below
-0.786,1100,0.618,1100,33.4,78,Above
-0.786,1100,0.618,1100,84.2,99,Below
-0.786,1100,0.786,1100,4.2,215,Above
-0.786,1100,0.786,1100,85.1,170,Below
-0.786,1100,1.0,1100,55.8,64,Above
-0.786,1100,1.0,1100,24.8,124,Below
-0.786,1200,-1.0,1200,79.2,265,Above
-0.786,1200,-1.0,1200,70.2,16,Below
-0.786,1200,-0.786,1200,1.1,157,Above
-0.786,1200,-0.786,1200,57.7,154,Below
-0.786,1200,-0.618,1200,4.5,77,Above
-0.786,1200,-0.618,1200,21.7,101,Below
-0.786,1200,-0.5,1200,14.2,42,Above
-0.786,1200,-0.5,1200,48.6,182,Below
-0.786,1200,-0.382,1200,11.5,249,Above
-0.786,1200,-0.382,1200,45.4,220,Below
-0.786,1200,-0.236,1200,84.4,284,Above
-0.786,1200,-0.236,1200,65.9,201,Below
-0.786,1200,0.0,1200,46.5,114,Above
-0.786,1200,0.0,1200,91.9,18,Below
-0.786,1200,0.236,1200,99.6,210,Above
-0.786,1200,0.236,1200,78.2,278,Below
-0.786,1200,0.382,1200,49.3,18,Above
-0.786,1200,0.382,1200,95.5,33,Below
-0.786,1200,0.5,1200,0.4,104,Above
-0.786,1200,0.5,1200,99.9,16,Below
-0.786,1200,0.618,1200,67.2,43,Above
-0.786,1200,0.618,1200,81.8,275,Below
-0.786,1200,0.786,1200,1.3,52,Above
-0.786,1200,0.786,1200,29.7,112,Below
-0.786,1200,1.0,1200,5.9,244,Above
-0.786,1200,1.0,1200,6.4,167,Below
-0.786,1300,-1.0,1300,84.0,247,Above
-0.786,1300,-1.0,1300,60.2,89,Below
-0.786,1300,-0.786,1300,94.2,133,Above
-0.786,1300,-0.786,1300,25.4,5,Below
-0.786,1300,-0.618,1300,23.1,111,Above
-0.786,1300,-0.618,1300,29.3,135,Below
-0.786,1300,-0.5,1300,66.4,229,Above
-0.786,1300,-0.5,1300,53.4,243,Below
-0.786,1300,-0.382,1300,83.5,130,Above
-0.786,1300,-0.382,1300,25.2,209,Below
-0.786,1300,-0.236,1300,41.3,238,Above
-0.786,1300,-0.236,1300,42.4,9,Below
-0.786,1300,0.0,1300,58.9,253,Above
-0.786,1300,0.0,1300,59.5,133,Below
-0.786,1300,0.236,1300,24.4,209,Above
-0.786,1300,0.236,1300,92.2,73,Below
-0.786,1300,0.382,1300,23.6,165,Above
-0.786,1300,0.382,1300,56.0,10,Below
-0.786,1300,0.5,1300,96.3,106,Above
-0.786,1300,0.5,1300,81.7,151,Below
-0.786,1300,0.618,1300,17.0,250,Above
-0.786,1300,0.618,1300,99.3,101,Below
-0.786,1300,0.786,1300,25.1,224,Above
-0.786,1300,0.786,1300,58.0,271,Below
-0.786,1300,1.0,1300,24.7,256,Above
-0.786,1300,1.0,1300,3.9,159,Below
-0.786,1400,-1.0,1400,96.4,235,Above
-0.786,1400,-1.0,1400,80.2,246,Below
-0.786,1400,-0.786,1400,24.7,239,Above
-0.786,1400,-0.786,1400,23.0,267,Below
-0.786,1400,-0.618,1400,90.7,114,Above
-0.786,1400,-0.618,1400,25.1,61,Below
-0.786,1400,-0.5,1400,13.3,210,Above
-0.786,1400,-0.5,1400,89.5,39,Below
-0.786,1400,-0.382,1400,77.8,145,Above
-0.786,1400,-0.382,1400,85.1,299,Below
-0.786,1400,-0.236,1400,41.2,231,Above
-0.786,1400,-0.236,1400,89.5,112,Below
-0.786,1400,0.0,1400,26.5,23,Above
-0.786,1400,0.0,1400,86.6,14,Below
-0.786,1400,0.236,1400,0.8,264,Above
-0.786,1400,0.236,1400,18.0,163,Below
-0.786,1400,0.382,1400,21.8,285,Above
-0.786,1400,0.382,1400,37.0,274,Below
-0.786,1400,0.5,1400,71.4,237,Above
-0.786,1400,0.5,1400,54.2,20,Below
-0.786,1400,0.618,1400,25.9,59,Above
-0.786,1400,0.618,1400,27.9,156,Below
-0.786,1400,0.786,1400,3.0,201,Above
-0.786,1400,0.786,1400,30.2,30,Below
-0.786,1400,1.0,1400,18.3,141,Above
-0.786,1400,1.0,1400,51.5,202,Below
-0.786,1500,-1.0,1500,36.1,276,Above
-0.786,1500,-1.0,1500,27.3,140,Below
-0.786,1500,-0.786,1500,96.0,21,Above
-0.786,1500,-0.786,1500,83.8,144,Below
-0.786,1500,-0.618,1500,42.0,105,Above
-0.786,1500,-0.618,1500,6.0,133,Below
-0.786,1500,-0.5,1500,76.0,24,Above
-0.786,1500,-0.5,1500,3.4,20,Below
-0.786,1500,-0.382,1500,87.5,40,Above
-0.786,1500,-0.382,1500,45.9,223,Below
-0.786,1500,-0.236,1500,69.4,136,Above
-0.786,1500,-0.236,1500,17.5,256,Below
-0.786,1500,0.0,1500,55.1,66,Above
-0.786,1500,0.0,1500,72.3,29,Below
-0.786,1500,0.236,1500,57.7,283,Above
-0.786,1500,0.236,1500,49.6,73,Below
-0.786,1500,0.382,1500,93.2,203,Above
-0.786,1500,0.382,1500,56.3,145,Below
-0.786,1500,0.5,1500,2.8,58,Above
-0.786,1500,0.5,1500,52.3,231,Below
-0.786,1500,0.618,1500,84.9,24,Above
-0.786,1500,0.618,1500,45.6,224,Below
-0.786,1500,0.786,1500,28.5,38,Above
-0.786,1500,0.786,1500,84.5,56,Below
-0.786,1500,1.0,1500,38.4,15,Above
-0.786,1500,1.0,1500,14.7,95,Below
-0.786,1600,-1.0,1600,58.6,167,Above
-0.786,1600,-1.0,1600,7.6,297,Below
-0.786,1600,-0.786,1600,17.9,235,Above
-0.786,1600,-0.786,1600,41.7,212,Below
-0.786,1600,-0.618,1600,99.1,254,Above
-0.786,1600,-0.618,1600,74.9,132,Below
-0.786,1600,-0.5,1600,31.4,215,Above
-0.786,1600,-0.5,1600,18.9,257,Below
-0.786,1600,-0.382,1600,99.6,233,Above
-0.786,1600,-0.382,1600,66.7,33,Below
-0.786,1600,-0.236,1600,84.0,222,Above
-0.786,1600,-0.236,1600,98.2,224,Below
-0.786,1600,0.0,1600,25.9,208,Above
-0.786,1600,0.0,1600,68.6,98,Below
-0.786,1600,0.236,1600,40.5,59,Above
-0.786,1600,0.236,1600,91.8,288,Below
-0.786,1600,0.382,1600,80.5,92,Above
-0.786,1600,0.382,1600,38.2,120,Below
-0.786,1600,0.5,1600,97.3,197,Above
-0.786,1600,0.5,1600,4.2,178,Below
-0.786,1600,0.618,1600,48.5,241,Above
-0.786,1600,0.618,1600,7.7,194,Below
-0.786,1600,0.786,1600,46.2,16,Above
-0.786,1600,0.786,1600,34.4,201,Below
-0.786,1600,1.0,1600,39.4,264,Above
-0.786,1600,1.0,1600,14.4,170,Below
-0.618,OPEN,-1.0,OPEN,92.3,6,Above
-0.618,OPEN,-1.0,OPEN,56.1,190,Below
-0.618,OPEN,-0.786,OPEN,5.9,275,Above
-0.618,OPEN,-0.786,OPEN,39.5,280,Below
-0.618,OPEN,-0.618,OPEN,61.4,78,Above
-0.618,OPEN,-0.618,OPEN,95.7,16,Below
-0.618,OPEN,-0.5,OPEN,48.2,238,Above
-0.618,OPEN,-0.5,OPEN,89.1,271,Below
-0.618,OPEN,-0.382,OPEN,3.1,109,Above
-0.618,OPEN,-0.382,OPEN,77.3,248,Below
-0.618,OPEN,-0.236,OPEN,10.3,74,Above
-0.618,OPEN,-0.236,OPEN,1.1,291,Below
-0.618,OPEN,0.0,OPEN,11.4,221,Above
-0.618,OPEN,0.0,OPEN,68.9,37,Below
-0.618,OPEN,0.236,OPEN,46.1,55,Above
-0.618,OPEN,0.236,OPEN,45.6,51,Below
-0.618,OPEN,0.382,OPEN,50.9,15,Above
-0.618,OPEN,0.382,OPEN,94.5,255,Below
-0.618,OPEN,0.5,OPEN,96.1,53,Above
-0.618,OPEN,0.5,OPEN,49.4,135,Below
-0.618,OPEN,0.618,OPEN,31.5,216,Above
-0.618,OPEN,0.618,OPEN,31.4,18,Below
-0.618,OPEN,0.786,OPEN,0.8,69,Above
-0.618,OPEN,0.786,OPEN,35.2,194,Below
-0.618,OPEN,1.0,OPEN,68.8,106,Above
-0.618,OPEN,1.0,OPEN,11.1,238,Below
-0.618,0900,-1.0,0900,95.9,199,Above
-0.618,0900,-1.0,0900,93.3,133,Below
-0.618,0900,-0.786,0900,51.2,284,Above
-0.618,0900,-0.786,0900,28.2,212,Below
-0.618,0900,-0.618,0900,65.0,222,Above
-0.618,0900,-0.618,0900,33.2,246,Below
-0.618,0900,-0.5,0900,17.3,199,Above
-0.618,0900,-0.5,0900,16.6,70,Below
-0.618,0900,-0.382,0900,9.4,51,Above
-0.618,0900,-0.382,0900,53.9,262,Below
-0.618,0900,-0.236,0900,97.0,35,Above
-0.618,0900,-0.236,0900,94.9,135,Below
-0.618,0900,0.0,0900,62.6,279,Above
-0.618,0900,0.0,0900,5.4,112,Below
-0.618,0900,0.236,0900,85.5,181,Above
-0.618,0900,0.236,0900,62.4,106,Below
-0.618,0900,0.382,0900,87.5,89,Above
-0.618,0900,0.382,0900,28.3,42,Below
-0.618,0900,0.5,0900,50.4,131,Above
-0.618,0900,0.5,0900,18.7,86,Below
-0.618,0900,0.618,0900,75.6,74,Above
-0.618,0900,0.618,0900,81.9,199,Below
-0.618,0900,0.786,0900,66.0,154,Above
-0.618,0900,0.786,0900,49.1,275,Below
-0.618,0900,1.0,0900,58.8,108,Above
-0.618,0900,1.0,0900,69.2,221,Below
-0.618,1000,-1.0,1000,51.3,258,Above
-0.618,1000,-1.0,1000,45.9,211,Below
-0.618,1000,-0.786,1000,81.9,156,Above
-0.618,1000,-0.786,1000,51.6,20,Below
-0.618,1000,-0.618,1000,73.2,131,Above
-0.618,1000,-0.618,1000,75.9,179,Below
-0.618,1000,-0.5,1000,90.6,225,Above
-0.618,1000,-0.5,1000,85.5,161,Below
-0.618,1000,-0.382,1000,74.0,60,Above
-0.618,1000,-0.382,1000,7.6,4,Below
-0.618,1000,-0.236,1000,44.8,242,Above
-0.618,1000,-0.236,1000,13.3,168,Below
-0.618,1000,0.0,1000,98.7,104,Above
-0.618,1000,0.0,1000,95.6,78,Below
-0.618,1000,0.236,1000,5.0,127,Above
-0.618,1000,0.236,1000,26.5,159,Below
-0.618,1000,0.382,1000,56.0,294,Above
-0.618,1000,0.382,1000,82.3,297,Below
-0.618,1000,0.5,1000,89.3,299,Above
-0.618,1000,0.5,1000,41.5,109,Below
-0.618,1000,0.618,1000,66.2,56,Above
-0.618,1000,0.618,1000,95.0,169,Below
-0.618,1000,0.786,1000,40.2,254,Above
-0.618,1000,0.786,1000,60.7,214,Below
-0.618,1000,1.0,1000,43.8,185,Above
-0.618,1000,1.0,1000,55.2,113,Below
-0.618,1100,-1.0,1100,94.5,235,Above
-0.618,1100,-1.0,1100,81.9,51,Below
-0.618,1100,-0.786,1100,4.5,158,Above
-0.618,1100,-0.786,1100,4.1,74,Below
-0.618,1100,-0.618,1100,78.2,188,Above
-0.618,1100,-0.618,1100,64.1,85,Below
-0.618,1100,-0.5,1100,49.0,155,Above
-0.618,1100,-0.5,1100,1.3,156,Below
-0.618,1100,-0.382,1100,95.6,191,Above
-0.618,1100,-0.382,1100,93.6,213,Below
