trigger_level,trigger_hour,goal_level,goal_hour,percent_complete,raw_count,direction
-1.0,1100,1.0,1400,49.7,122,Above
-1.0,1200,-0.786,1200,28.5,90,Above
-1.0,1200,-0.618,OPEN,97.7,63,Above
-1.0,1200,-0.5,1400,27.9,138,Above
-1.0,1200,-0.382,1000,68.1,62,Above
-1.0,1200,-0.236,1300,24.2,77,Above
-1.0,1200,0.0,1400,76.2,132,Above
-1.0,1200,0.236,OPEN,72.8,33,Above
-1.0,1200,0.382,1200,63.2,148,Above
-1.0,1200,0.5,OPEN,15.1,79,Above
-1.0,1200,0.618,1000,59.1,99,Above
-1.0,1200,0.786,1000,81.0,105,Above
-1.0,1200,1.0,1400,17.4,137,Above
-1.0,1300,-0.786,1400,93.7,138,Above
-1.0,1300,-0.618,1600,11.3,51,Above
-1.0,1300,-0.5,1000,22.9,99,Above
-1.0,1300,-0.382,1600,51.7,122,Above
-1.0,1300,-0.236,0900,99.6,149,Above
-1.0,1300,0.0,1200,90.0,18,Above
-1.0,1300,0.236,1600,34.9,57,Above
-1.0,1300,0.382,1000,85.6,63,Above
-1.0,1300,0.5,1500,88.8,125,Above
-1.0,1300,0.618,OPEN,16.2,113,Above
-1.0,1300,0.786,1100,58.1,121,Above
-1.0,1300,1.0,1600,66.4,102,Above
-1.0,1400,-0.786,0900,16.1,91,Above
-1.0,1400,-0.618,0900,69.2,77,Above
-1.0,1400,-0.5,OPEN,49.4,57,Above
-1.0,1400,-0.382,1100,36.6,145,Above
-1.0,1400,-0.236,1400,72.1,137,Above
-1.0,1400,0.0,OPEN,54.3,124,Above
-1.0,1400,0.236,1300,26.5,47,Above
-1.0,1400,0.382,1300,39.3,17,Above
-1.0,1400,0.5,0900,35.0,106,Above
-1.0,1400,0.618,OPEN,19.5,70,Above
-1.0,1400,0.786,1000,57.2,58,Above
-1.0,1400,1.0,OPEN,99.5,55,Above
-1.0,1500,-0.786,1200,88.3,133,Above
-1.0,1500,-0.618,1600,95.3,102,Above
-1.0,1500,-0.5,OPEN,55.3,104,Above
-1.0,1500,-0.382,1000,98.0,125,Above
-1.0,1500,-0.236,1200,19.1,76,Above
-1.0,1500,0.0,0900,55.7,63,Above
-1.0,1500,0.236,1000,57.0,33,Above
-1.0,1500,0.382,0900,61.5,95,Above
-1.0,1500,0.5,1400,14.0,139,Above
-1.0,1500,0.618,OPEN,84.9,146,Above
-1.0,1500,0.786,1300,35.9,35,Above
-1.0,1500,1.0,1000,25.6,22,Above
-1.0,1600,-0.786,1400,50.2,29,Above
-1.0,1600,-0.618,OPEN,7.1,124,Above
-1.0,1600,-0.5,1400,2.8,107,Above
-1.0,1600,-0.382,0900,43.8,95,Above
-1.0,1600,-0.236,1000,46.6,72,Above
-1.0,1600,0.0,1300,59.1,95,Above
-1.0,1600,0.236,OPEN,3.7,79,Above
-1.0,1600,0.382,1300,53.7,110,Above
-1.0,1600,0.5,OPEN,82.8,69,Above
-1.0,1600,0.618,1200,45.7,15,Above
-1.0,1600,0.786,1100,41.1,108,Above
-1.0,1600,1.0,1400,13.8,22,Above
-0.786,OPEN,-1.0,0900,51.6,129,Below
-0.786,OPEN,-0.618,1000,43.9,99,Above
-0.786,OPEN,-0.5,1200,18.4,71,Above
-0.786,OPEN,-0.382,1400,42.8,149,Above
-0.786,OPEN,-0.236,1200,5.8,131,Above
-0.786,OPEN,0.0,OPEN,44.2,105,Above
-0.786,OPEN,0.236,1300,71.5,126,Above
-0.786,OPEN,0.382,OPEN,95.5,78,Above
-0.786,OPEN,0.5,1300,73.0,85,Above
-0.786,OPEN,0.618,1000,75.8,38,Above
-0.786,OPEN,0.786,1200,9.4,103,Above
-0.786,OPEN,1.0,1100,17.5,94,Above
-0.786,0900,-1.0,1400,34.6,110,Below
-0.786,0900,-0.618,1400,4.8,78,Above
-0.786,0900,-0.5,1100,4.5,147,Above
-0.786,0900,-0.382,1000,50.3,10,Above
-0.786,0900,-0.236,1500,65.9,13,Above
-0.786,0900,0.0,1500,94.4,11,Above
-0.786,0900,0.236,OPEN,86.7,93,Above
-0.786,0900,0.382,1500,67.7,133,Above
-0.786,0900,0.5,OPEN,45.8,110,Above
-0.786,0900,0.618,1000,82.0,83,Above
-0.786,0900,0.786,0900,3.9,44,Above
-0.786,0900,1.0,1400,7.1,17,Above
-0.786,1000,-1.0,0900,26.1,144,Below
-0.786,1000,-0.618,1100,69.3,123,Above
-0.786,1000,-0.5,1500,73.5,30,Above
-0.786,1000,-0.382,1600,54.8,110,Above
-0.786,1000,-0.236,1600,56.9,108,Above
-0.786,1000,0.0,1100,37.2,105,Above
-0.786,1000,0.236,1500,86.7,46,Above
-0.786,1000,0.382,OPEN,68.0,32,Above
-0.786,1000,0.5,1600,23.8,39,Above
-0.786,1000,0.618,OPEN,53.4,93,Above
-0.786,1000,0.786,1600,32.0,28,Above
-0.786,1000,1.0,OPEN,5.3,85,Above
-0.786,1100,-1.0,1600,31.9,137,Below
-0.786,1100,-0.618,1100,57.3,120,Above
-0.786,1100,-0.5,1200,9.2,149,Above
-0.786,1100,-0.382,1600,55.4,62,Above
-0.786,1100,-0.236,1400,78.1,48,Above
-0.786,1100,0.0,1200,49.4,131,Above
-0.786,1100,0.236,1200,73.7,84,Above
-0.786,1100,0.382,0900,96.9,18,Above
-0.786,1100,0.5,OPEN,10.1,16,Above
-0.786,1100,0.618,1500,7.3,36,Above
-0.786,1100,0.786,0900,8.1,92,Above
-0.786,1100,1.0,1500,37.4,74,Above
-0.786,1200,-1.0,1300,81.3,80,Below
-0.786,1200,-0.618,1600,59.2,45,Above
-0.786,1200,-0.5,1300,70.8,28,Above
-0.786,1200,-0.382,1300,70.5,99,Above
-0.786,1200,-0.236,1000,11.1,135,Above
-0.786,1200,0.0,1100,11.9,70,Above
-0.786,1200,0.236,1600,74.4,140,Above
-0.786,1200,0.382,1600,37.5,122,Above
-0.786,1200,0.5,1600,86.9,126,Above
-0.786,1200,0.618,1300,80.2,70,Above
-0.786,1200,0.786,1200,4.3,29,Above
-0.786,1200,1.0,1600,52.3,58,Above
-0.786,1300,-1.0,OPEN,62.8,127,Below
-0.786,1300,-0.618,1000,90.1,21,Above
-0.786,1300,-0.5,1500,39.5,126,Above
-0.786,1300,-0.382,1500,17.0,99,Above
-0.786,1300,-0.236,1500,35.3,37,Above
-0.786,1300,0.0,1200,97.4,55,Above
-0.786,1300,0.236,1000,82.3,91,Above
-0.786,1300,0.382,1000,72.6,56,Above
-0.786,1300,0.5,1600,41.8,65,Above
-0.786,1300,0.618,0900,55.2,14,Above
-0.786,1300,0.786,1400,41.1,127,Above
-0.786,1300,1.0,OPEN,48.0,20,Above
-0.786,1400,-1.0,1200,75.0,95,Below
-0.786,1400,-0.618,OPEN,83.8,107,Above
-0.786,1400,-0.5,1600,41.5,138,Above
-0.786,1400,-0.382,1200,5.6,15,Above
-0.786,1400,-0.236,OPEN,53.4,142,Above
-0.786,1400,0.0,1300,91.3,32,Above
-0.786,1400,0.236,1200,72.6,92,Above
-0.786,1400,0.382,OPEN,24.1,119,Above
-0.786,1400,0.5,OPEN,95.4,13,Above
-0.786,1400,0.618,OPEN,67.2,41,Above
-0.786,1400,0.786,0900,35.8,81,Above
-0.786,1400,1.0,1400,67.2,127,Above
-0.786,1500,-1.0,1000,52.0,21,Below
-0.786,1500,-0.618,OPEN,55.2,142,Above
-0.786,1500,-0.5,1600,59.0,56,Above
-0.786,1500,-0.382,1400,75.5,94,Above
-0.786,1500,-0.236,0900,80.5,112,Above
-0.786,1500,0.0,1300,61.7,47,Above
-0.786,1500,0.236,0900,59.0,39,Above
-0.786,1500,0.382,1000,90.4,61,Above
-0.786,1500,0.5,1600,51.4,88,Above
-0.786,1500,0.618,1400,52.4,90,Above
-0.786,1500,0.786,1200,79.6,147,Above
-0.786,1500,1.0,1500,84.2,26,Above
-0.786,1600,-1.0,1100,45.9,43,Below
-0.786,1600,-0.618,1300,49.3,135,Above
-0.786,1600,-0.5,1000,53.7,89,Above
-0.786,1600,-0.382,1300,69.8,141,Above
-0.786,1600,-0.236,1500,69.7,34,Above
-0.786,1600,0.0,1000,87.4,102,Above
-0.786,1600,0.236,0900,60.2,60,Above
-0.786,1600,0.382,1000,82.2,101,Above
-0.786,1600,0.5,1300,8.9,10,Above
-0.786,1600,0.618,1200,46.1,99,Above
-0.786,1600,0.786,0900,12.9,54,Above
-0.786,1600,1.0,1600,9.2,56,Above
-0.618,OPEN,-1.0,1600,68.8,65,Below
-0.618,OPEN,-0.786,OPEN,27.7,10,Below
-0.618,OPEN,-0.5,1500,74.8,56,Above
-0.618,OPEN,-0.382,1500,48.5,37,Above
-0.618,OPEN,-0.236,1400,53.1,139,Above
-0.618,OPEN,0.0,1500,13.3,12,Above
-0.618,OPEN,0.236,1400,51.2,27,Above
-0.618,OPEN,0.382,1300,53.3,24,Above
-0.618,OPEN,0.5,1600,73.7,37,Above
-0.618,OPEN,0.618,1400,32.2,95,Above
-0.618,OPEN,0.786,1600,89.1,34,Above
-0.618,OPEN,1.0,1100,35.5,118,Above
-0.618,0900,-1.0,0900,8.7,120,Below
-0.618,0900,-0.786,1300,58.7,17,Below
-0.618,0900,-0.5,1500,43.2,92,Above
-0.618,0900,-0.382,1600,33.7,35,Above
-0.618,0900,-0.236,0900,24.4,68,Above
-0.618,0900,0.0,1300,60.6,42,Above
-0.618,0900,0.236,1200,10.2,79,Above
-0.618,0900,0.382,1400,48.8,103,Above
-0.618,0900,0.5,1500,89.7,140,Above
-0.618,0900,0.618,1000,1.8,45,Above
-0.618,0900,0.786,1500,11.2,75,Above
-0.618,0900,1.0,1100,96.9,13,Above
-0.618,1000,-1.0,1300,97.5,103,Below
-0.618,1000,-0.786,1500,72.3,71,Below
-0.618,1000,-0.5,1600,71.8,145,Above
-0.618,1000,-0.382,1000,83.9,142,Above
-0.618,1000,-0.236,1300,96.8,77,Above
-0.618,1000,0.0,1000,20.0,29,Above
-0.618,1000,0.236,OPEN,53.0,10,Above
-0.618,1000,0.382,1300,58.1,148,Above
-0.618,1000,0.5,1100,32.1,12,Above
-0.618,1000,0.618,OPEN,36.9,19,Above
-0.618,1000,0.786,1200,6.3,139,Above
-0.618,1000,1.0,1500,81.0,74,Above
-0.618,1100,-1.0,1200,0.3,18,Below
-0.618,1100,-0.786,1500,60.6,103,Below
-0.618,1100,-0.5,OPEN,85.1,87,Above
-0.618,1100,-0.382,1200,73.1,146,Above
-0.618,1100,-0.236,0900,18.1,44,Above
-0.618,1100,0.0,OPEN,74.1,69,Above
-0.618,1100,0.236,1500,82.8,23,Above
-0.618,1100,0.382,1000,16.4,14,Above
-0.618,1100,0.5,1000,66.5,71,Above
-0.618,1100,0.618,1100,31.6,51,Above
-0.618,1100,0.786,1600,68.3,81,Above
-0.618,1100,1.0,1400,71.4,41,Above
-0.618,1200,-1.0,1000,62.4,106,Below
-0.618,1200,-0.786,1400,43.9,62,Below
-0.618,1200,-0.5,1500,22.9,48,Above
-0.618,1200,-0.382,1000,43.2,76,Above
-0.618,1200,-0.236,1400,73.1,51,Above
-0.618,1200,0.0,1100,79.4,42,Above
-0.618,1200,0.236,1100,74.1,47,Above
-0.618,1200,0.382,1600,31.2,42,Above
-0.618,1200,0.5,1100,57.0,19,Above
-0.618,1200,0.618,1200,87.7,106,Above
-0.618,1200,0.786,1300,82.1,56,Above
-0.618,1200,1.0,1100,45.7,24,Above
-0.618,1300,-1.0,1500,15.0,56,Below
-0.618,1300,-0.786,1100,72.2,139,Below
-0.618,1300,-0.5,1000,69.4,45,Above
-0.618,1300,-0.382,1200,82.7,83,Above
-0.618,1300,-0.236,1500,58.3,32,Above
-0.618,1300,0.0,1500,50.6,120,Above
-0.618,1300,0.236,1500,87.2,109,Above
-0.618,1300,0.382,1100,79.0,46,Above
-0.618,1300,0.5,1500,65.1,101,Above
-0.618,1300,0.618,1600,42.4,38,Above
-0.618,1300,0.786,1500,84.0,20,Above
-0.618,1300,1.0,1400,12.3,110,Above
-0.618,1400,-1.0,1200,16.6,66,Below
-0.618,1400,-0.786,OPEN,87.0,64,Below
-0.618,1400,-0.5,1000,59.1,62,Above
-0.618,1400,-0.382,1600,20.6,66,Above
-0.618,1400,-0.236,1200,60.4,44,Above
-0.618,1400,0.0,1100,53.7,84,Above
-0.618,1400,0.236,1300,34.6,100,Above
-0.618,1400,0.382,OPEN,58.7,117,Above
-0.618,1400,0.5,1000,24.8,34,Above
-0.618,1400,0.618,1400,16.6,97,Above
-0.618,1400,0.786,OPEN,36.2,72,Above
-0.618,1400,1.0,1300,22.0,123,Above
-0.618,1500,-1.0,1200,51.5,90,Below
-0.618,1500,-0.786,1100,45.9,127,Below
-0.618,1500,-0.5,1300,8.5,113,Above
-0.618,1500,-0.382,OPEN,30.0,132,Above
-0.618,1500,-0.236,1500,89.8,41,Above
-0.618,1500,0.0,OPEN,3.7,39,Above
-0.618,1500,0.236,1500,58.7,10,Above
-0.618,1500,0.382,1000,45.3,122,Above
-0.618,1500,0.5,0900,49.7,72,Above
-0.618,1500,0.618,1100,18.2,64,Above
-0.618,1500,0.786,1400,75.3,19,Above
-0.618,1500,1.0,1000,64.4,133,Above
-0.618,1600,-1.0,OPEN,2.5,41,Below
-0.618,1600,-0.786,0900,86.7,17,Below
-0.618,1600,-0.5,OPEN,55.2,76,Above
-0.618,1600,-0.382,1500,19.6,81,Above
-0.618,1600,-0.236,1300,33.9,76,Above
-0.618,1600,0.0,1000,65.3,17,Above
-0.618,1600,0.236,0900,80.5,97,Above
-0.618,1600,0.382,1500,80.7,64,Above
-0.618,1600,0.5,0900,1.3,16,Above
-0.618,1600,0.618,OPEN,20.8,121,Above
-0.618,1600,0.786,1000,58.3,91,Above
-0.618,1600,1.0,0900,91.1,20,Above
-0.5,OPEN,-1.0,0900,36.3,128,Below
-0.5,OPEN,-0.786,1100,62.4,146,Below
-0.5,OPEN,-0.618,0900,86.1,108,Below
-0.5,OPEN,-0.382,1100,97.5,117,Above
-0.5,OPEN,-0.236,1500,11.4,129,Above
-0.5,OPEN,0.0,1400,80.0,123,Above
-0.5,OPEN,0.236,1000,51.2,18,Above
-0.5,OPEN,0.382,1500,69.9,34,Above
-0.5,OPEN,0.5,1400,21.8,31,Above
-0.5,OPEN,0.618,1100,13.2,38,Above
-0.5,OPEN,0.786,0900,27.2,84,Above
-0.5,OPEN,1.0,1300,91.4,94,Above
-0.5,0900,-1.0,1100,49.8,43,Below
-0.5,0900,-0.786,OPEN,40.5,131,Below
-0.5,0900,-0.618,1400,10.7,95,Below
-0.5,0900,-0.382,1200,26.4,40,Above
-0.5,0900,-0.236,1300,73.2,107,Above
-0.5,0900,0.0,1600,49.4,147,Above
-0.5,0900,0.236,OPEN,41.9,131,Above
-0.5,0900,0.382,0900,16.6,116,Above
-0.5,0900,0.5,OPEN,8.3,45,Above
-0.5,0900,0.618,1000,24.5,20,Above
-0.5,0900,0.786,1500,43.7,122,Above
-0.5,0900,1.0,1400,61.0,63,Above
-0.5,1000,-1.0,0900,39.7,78,Below
-0.5,1000,-0.786,1500,21.5,45,Below
-0.5,1000,-0.618,1100,16.2,90,Below
-0.5,1000,-0.382,0900,62.3,82,Above
-0.5,1000,-0.236,1600,35.2,138,Above
-0.5,1000,0.0,1600,70.5,113,Above
-0.5,1000,0.236,1600,24.6,140,Above
-0.5,1000,0.382,0900,79.9,111,Above
-0.5,1000,0.5,0900,10.3,110,Above
-0.5,1000,0.618,OPEN,13.7,83,Above
-0.5,1000,0.786,1600,44.6,56,Above
-0.5,1000,1.0,1500,75.8,90,Above
-0.5,1100,-1.0,1400,72.4,34,Below
-0.5,1100,-0.786,0900,48.9,68,Below
-0.5,1100,-0.618,1600,94.4,56,Below
-0.5,1100,-0.382,1400,99.9,35,Above
-0.5,1100,-0.236,1200,47.3,144,Above
-0.5,1100,0.0,1200,73.1,124,Above
-0.5,1100,0.236,1500,97.1,91,Above
-0.5,1100,0.382,1100,84.5,112,Above
-0.5,1100,0.5,OPEN,65.0,117,Above
-0.5,1100,0.618,0900,88.5,117,Above
-0.5,1100,0.786,1400,31.5,13,Above
-0.5,1100,1.0,1300,31.9,25,Above
-0.5,1200,-1.0,0900,2.4,43,Below
-0.5,1200,-0.786,1400,18.5,27,Below
-0.5,1200,-0.618,1000,7.0,55,Below
-0.5,1200,-0.382,1100,5.3,71,Above
-0.5,1200,-0.236,1200,48.0,25,Above
-0.5,1200,0.0,1500,27.2,130,Above
-0.5,1200,0.236,1600,33.6,93,Above
-0.5,1200,0.382,1200,73.2,12,Above
-0.5,1200,0.5,1500,28.7,77,Above
-0.5,1200,0.618,0900,23.4,82,Above
-0.5,1200,0.786,OPEN,39.2,149,Above
-0.5,1200,1.0,1200,78.6,133,Above
-0.5,1300,-1.0,1300,98.2,72,Below
-0.5,1300,-0.786,1500,46.7,86,Below
-0.5,1300,-0.618,0900,16.7,61,Below
-0.5,1300,-0.382,1100,23.2,102,Above
-0.5,1300,-0.236,1300,60.8,119,Above
-0.5,1300,0.0,0900,38.4,12,Above
-0.5,1300,0.236,1500,35.0,14,Above
-0.5,1300,0.382,1300,96.9,18,Above
-0.5,1300,0.5,1000,59.7,70,Above
-0.5,1300,0.618,1000,75.8,71,Above
-0.5,1300,0.786,OPEN,15.4,22,Above
-0.5,1300,1.0,1500,74.8,98,Above
-0.5,1400,-1.0,1600,89.5,110,Below
-0.5,1400,-0.786,0900,45.7,76,Below
-0.5,1400,-0.618,1600,4.4,85,Below
-0.5,1400,-0.382,1600,32.9,34,Above
-0.5,1400,-0.236,1200,73.5,133,Above
-0.5,1400,0.0,1300,26.0,142,Above
-0.5,1400,0.236,0900,8.1,69,Above
-0.5,1400,0.382,1200,99.1,123,Above
-0.5,1400,0.5,1500,88.3,71,Above
-0.5,1400,0.618,1000,82.5,65,Above
-0.5,1400,0.786,1500,67.8,100,Above
-0.5,1400,1.0,OPEN,87.9,89,Above
-0.5,1500,-1.0,1500,24.5,68,Below
-0.5,1500,-0.786,1600,33.4,54,Below
-0.5,1500,-0.618,1600,93.0,109,Below
-0.5,1500,-0.382,1300,18.9,142,Above
-0.5,1500,-0.236,1600,2.9,32,Above
-0.5,1500,0.0,1200,74.4,91,Above
-0.5,1500,0.236,1100,55.6,86,Above
-0.5,1500,0.382,1400,19.3,22,Above
-0.5,1500,0.5,OPEN,56.0,113,Above
-0.5,1500,0.618,0900,63.4,97,Above
-0.5,1500,0.786,1000,12.8,83,Above
-0.5,1500,1.0,1600,96.3,72,Above
-0.5,1600,-1.0,1200,10.3,105,Below
-0.5,1600,-0.786,1100,6.8,26,Below
-0.5,1600,-0.618,1300,70.9,127,Below
-0.5,1600,-0.382,OPEN,5.8,129,Above
-0.5,1600,-0.236,0900,87.2,38,Above
-0.5,1600,0.0,1100,64.8,134,Above
-0.5,1600,0.236,1400,6.6,42,Above
-0.5,1600,0.382,1300,37.2,67,Above
-0.5,1600,0.5,1400,44.6,38,Above
-0.5,1600,0.618,1100,42.6,48,Above
-0.5,1600,0.786,1400,82.6,84,Above
-0.5,1600,1.0,1100,84.0,93,Above
-0.382,OPEN,-1.0,1300,13.1,90,Below
-0.382,OPEN,-0.786,1500,43.2,30,Below
-0.382,OPEN,-0.618,1200,63.9,15,Below
-0.382,OPEN,-0.5,1000,27.4,140,Below
-0.382,OPEN,-0.236,OPEN,32.1,24,Above
-0.382,OPEN,0.0,0900,21.3,73,Above
-0.382,OPEN,0.236,OPEN,65.2,21,Above
-0.382,OPEN,0.382,0900,86.4,36,Above
-0.382,OPEN,0.5,1500,15.9,102,Above
-0.382,OPEN,0.618,1200,15.4,36,Above
-0.382,OPEN,0.786,0900,76.1,140,Above
-0.382,OPEN,1.0,1200,91.2,131,Above
-0.382,0900,-1.0,1000,18.5,24,Below
-0.382,0900,-0.786,1600,0.1,26,Below
-0.382,0900,-0.618,1100,43.0,72,Below
-0.382,0900,-0.5,1300,58.2,126,Below
-0.382,0900,-0.236,0900,79.8,148,Above
-0.382,0900,0.0,OPEN,1.2,27,Above
-0.382,0900,0.236,0900,48.0,104,Above
-0.382,0900,0.382,1300,29.2,54,Above
-0.382,0900,0.5,1600,86.0,111,Above
-0.382,0900,0.618,1600,4.0,97,Above
-0.382,0900,0.786,1600,24.2,130,Above
-0.382,0900,1.0,1300,61.8,106,Above
-0.382,1000,-1.0,0900,53.4,86,Below
-0.382,1000,-0.786,1100,35.8,112,Below
-0.382,1000,-0.618,0900,97.7,99,Below
-0.382,1000,-0.5,0900,82.1,115,Below
-0.382,1000,-0.236,1400,67.0,113,Above
-0.382,1000,0.0,1000,89.6,18,Above
-0.382,1000,0.236,1300,61.7,50,Above
-0.382,1000,0.382,0900,93.5,81,Above
-0.382,1000,0.5,0900,62.5,93,Above
-0.382,1000,0.618,1400,66.1,141,Above
-0.382,1000,0.786,1300,81.7,136,Above
-0.382,1000,1.0,1000,4.1,115,Above
-0.382,1100,-1.0,0900,6.0,96,Below
-0.382,1100,-0.786,1600,87.2,131,Below
-0.382,1100,-0.618,1000,97.6,109,Below
-0.382,1100,-0.5,1500,87.2,62,Below
-0.382,1100,-0.236,1400,4.4,53,Above
-0.382,1100,0.0,0900,2.1,46,Above
-0.382,1100,0.236,1500,97.5,140,Above
-0.382,1100,0.382,1000,68.0,102,Above
-0.382,1100,0.5,1300,3.1,106,Above
-0.382,1100,0.618,1400,46.3,103,Above
-0.382,1100,0.786,1200,72.7,33,Above
-0.382,1100,1.0,1100,62.9,117,Above
-0.382,1200,-1.0,1100,50.5,59,Below
-0.382,1200,-0.786,OPEN,51.4,114,Below
-0.382,1200,-0.618,1100,2.9,107,Below
-0.382,1200,-0.5,1100,87.3,15,Below
-0.382,1200,-0.236,1400,27.7,124,Above
-0.382,1200,0.0,1300,35.9,140,Above
-0.382,1200,0.236,0900,63.2,108,Above
-0.382,1200,0.382,1500,40.5,96,Above
-0.382,1200,0.5,0900,18.1,78,Above
-0.382,1200,0.618,1300,49.2,71,Above
-0.382,1200,0.786,1300,87.1,120,Above
-0.382,1200,1.0,1500,57.9,93,Above
-0.382,1300,-1.0,0900,9.5,132,Below
-0.382,1300,-0.786,1600,96.9,75,Below
-0.382,1300,-0.618,1000,65.7,54,Below
-0.382,1300,-0.5,1400,45.4,148,Below
-0.382,1300,-0.236,1000,44.2,89,Above
-0.382,1300,0.0,1600,43.1,29,Above
-0.382,1300,0.236,1500,61.7,10,Above
-0.382,1300,0.382,1600,16.7,37,Above
-0.382,1300,0.5,1600,60.6,58,Above
-0.382,1300,0.618,OPEN,70.5,65,Above
-0.382,1300,0.786,1300,20.6,123,Above
-0.382,1300,1.0,0900,12.3,46,Above
-0.382,1400,-1.0,1100,5.2,10,Below
-0.382,1400,-0.786,1400,22.5,68,Below
-0.382,1400,-0.618,1200,10.3,21,Below
-0.382,1400,-0.5,1100,98.7,52,Below
-0.382,1400,-0.236,0900,32.3,38,Above
-0.382,1400,0.0,1600,58.0,47,Above
-0.382,1400,0.236,1100,12.6,135,Above
-0.382,1400,0.382,1100,70.5,133,Above
-0.382,1400,0.5,1400,16.2,94,Above
-0.382,1400,0.618,OPEN,73.1,105,Above
-0.382,1400,0.786,1300,86.8,95,Above
-0.382,1400,1.0,0900,66.2,128,Above
-0.382,1500,-1.0,0900,24.4,35,Below
-0.382,1500,-0.786,1500,86.5,122,Below
-0.382,1500,-0.618,1500,79.6,42,Below
-0.382,1500,-0.5,OPEN,21.6,62,Below
-0.382,1500,-0.236,1200,57.7,72,Above
-0.382,1500,0.0,1600,86.6,98,Above
-0.382,1500,0.236,1600,9.0,77,Above
-0.382,1500,0.382,0900,40.4,141,Above
-0.382,1500,0.5,1300,43.8,91,Above
-0.382,1500,0.618,1600,31.7,118,Above
-0.382,1500,0.786,OPEN,12.0,63,Above
-0.382,1500,1.0,1400,0.6,74,Above
-0.382,1600,-1.0,1400,56.3,69,Below
-0.382,1600,-0.786,1600,59.6,44,Below
-0.382,1600,-0.618,1300,7.3,108,Below
-0.382,1600,-0.5,1500,66.8,83,Below
-0.382,1600,-0.236,0900,46.3,12,Above
-0.382,1600,0.0,1200,86.3,57,Above
-0.382,1600,0.236,0900,47.9,126,Above
-0.382,1600,0.382,1600,38.0,57,Above
-0.382,1600,0.5,1200,24.6,24,Above
-0.382,1600,0.618,1400,81.3,117,Above
-0.382,1600,0.786,1200,19.6,89,Above
-0.382,1600,1.0,1200,89.8,34,Above
-0.236,OPEN,-1.0,1100,92.7,24,Below
-0.236,OPEN,-0.786,1100,93.4,28,Below
-0.236,OPEN,-0.618,0900,16.6,126,Below
-0.236,OPEN,-0.5,1100,67.0,44,Below
-0.236,OPEN,-0.382,1500,31.1,11,Below
-0.236,OPEN,0.0,OPEN,97.7,99,Above
-0.236,OPEN,0.236,1600,52.2,16,Above
-0.236,OPEN,0.382,1400,52.5,80,Above
-0.236,OPEN,0.5,1500,79.3,51,Above
-0.236,OPEN,0.618,1500,96.3,127,Above
-0.236,OPEN,0.786,1400,81.6,129,Above
-0.236,OPEN,1.0,1400,63.8,30,Above
-0.236,0900,-1.0,1300,59.4,35,Below
-0.236,0900,-0.786,1600,64.7,131,Below
-0.236,0900,-0.618,1600,84.0,81,Below
-0.236,0900,-0.5,1500,35.3,100,Below
-0.236,0900,-0.382,1200,30.2,28,Below
-0.236,0900,0.0,1100,42.4,98,Above
-0.236,0900,0.236,0900,76.7,78,Above
